date,AAPLclose,axpclose,catclose,baclose,cscoclose,cvxclose,ibmclose,msftclose,pgclose,xomclose
2014-09-18,94.5217,83.9655,90.13,115.0553,21.8089,104.8058,164.5165,42.1156,72.7678,82.5019
2014-09-19,93.751,83.5927,90.4334,115.7444,21.8218,104.3184,165.3271,42.2604,72.7937,82.1025
2014-09-22,93.8438,82.9311,88.8473,115.0822,21.8045,104.87299999999999,165.5404,43.0209,73.0358,82.5359
2014-09-23,95.311,82.2974,87.4519,113.9816,21.6055,103.7722,164.78099999999998,42.6045,73.3298,82.04299999999999
2014-09-24,94.4845,82.4931,86.6632,115.0553,21.3719,103.4108,163.5096,42.1518,73.0099,81.6096
2014-09-25,90.8816,80.8529,87.7119,113.7668,21.6142,102.8562,164.0984,42.6226,73.7016,81.4311
2014-09-26,93.556,82.3533,86.2471,115.1538,21.2335,101.4109,161.2825,41.681000000000004,72.9148,80.0969
2014-09-29,92.9617,81.9619,87.0012,115.2254,21.6315,102.0747,162.1784,42.016000000000005,73.1309,81.0997
2014-09-30,93.556,81.5798,86.5245,113.9816,21.7353,101.3016,161.8201,42.0432,73.0099,80.2499
2014-10-01,92.0981,80.2058,85.8311,111.5566,21.9446,100.26799999999999,159.7124,41.9707,72.4047,79.9269
2014-10-02,92.7667,80.2619,84.6004,111.1092,21.8225,98.8647,159.7124,41.5543,71.8859,78.9156
2014-10-03,92.5066,81.4676,84.427,113.0689,21.8487,98.4109,159.4905,41.4275,71.8081,79.2896
2014-10-06,92.5066,81.3461,84.4097,112.9794,22.0666,98.9151,160.9923,41.7263,72.4479,79.8165
2014-10-07,91.6988,79.7758,84.9384,110.3486,21.8051,99.2344,161.3081,41.7263,72.2577,80.3264
2014-10-08,93.6024,81.7013,82.0782,111.834,21.4781,97.4949,158.4666,41.2193,71.9032,79.3491
2014-10-09,93.8067,80.2806,83.7683,109.8475,21.4999,99.1168,161.5811,42.351000000000006,72.7851,80.4029
2014-10-10,93.5374,79.4394,81.0382,108.7201,21.0902,96.226,159.0724,41.50899999999999,72.3355,78.0318
2014-10-13,92.6831,77.3737,80.7175,107.7805,20.3491,95.705,158.6543,39.8613,73.2261,77.8448
2014-10-14,91.6988,77.3363,79.4607,109.427,19.9916,94.14200000000001,156.5978,39.5173,72.0847,77.199
2014-10-15,90.5752,75.6445,80.4315,107.5478,20.1006,92.2513,156.8368,39.5897,72.2404,76.9525
2014-10-16,89.3866,74.9996,80.2495,107.6373,20.0178,91.8227,155.0875,39.128,71.7216,76.6721
2014-10-17,90.6959,77.1868,81.4284,110.277,19.8957,93.3269,153.4577,38.6935,71.1077,76.995
2014-10-20,92.6366,78.5234,83.0091,111.2345,20.2706,93.9487,155.3435,39.4992,71.9983,77.5134
2014-10-21,95.1531,80.0469,82.1183,113.7489,19.9916,93.6882,144.2932,39.9066,72.7851,77.9893
2014-10-22,95.63600000000001,78.4766,83.7427,108.6753,20.4973,96.7134,139.2844,40.6309,73.1569,79.587
2014-10-23,97.3446,80.0189,82.5899,109.1943,20.2793,95.7975,138.0556,40.1782,73.3866,79.1451
2014-10-24,97.7068,80.7573,86.6945,109.3822,20.5452,97.6378,138.3884,40.7576,72.5153,79.9779
2014-10-27,97.6046,80.9723,86.84299999999999,109.2748,20.7327,97.4025,138.3031,41.7625,74.1969,80.3009
2014-10-28,99.1182,82.2621,86.057,110.6081,20.7153,96.6546,138.1239,41.5633,74.8852,79.638
2014-10-29,99.6754,82.5706,88.3451,110.1339,20.9812,98.4277,139.6001,42.0884,75.3382,80.8193
2014-10-30,99.3411,82.9444,87.49799999999999,110.796,21.0117,98.4361,139.4806,42.2061,75.3992,80.3859
2014-10-31,100.2883,84.0754,89.9433,111.7714,20.9943,98.4865,140.2401,41.6901,75.7477,80.2669
2014-11-03,101.5883,84.9166,88.5635,112.7736,21.3343,100.7974,140.2827,42.5049,76.0352,82.1875
2014-11-04,100.8454,85.412,87.5242,112.6035,21.4302,98.1336,140.2486,42.9485,76.1311,80.9552
2014-11-05,101.0869,86.3841,86.1182,111.8025,21.6917,96.9487,138.7894,43.0662,77.2289,80.3264
2014-11-06,101.3759,85.59899999999999,86.8168,112.1265,21.9271,98.3605,138.0812,43.3287,77.5425,80.7938
2014-11-07,101.665,86.2346,88.1268,112.0095,22.023000000000003,99.6041,138.717,44.0892,77.4554,81.8051
2014-11-10,101.4972,86.3654,88.8691,112.1805,22.0841,99.831,139.2411,44.0711,77.6558,82.6782
2014-11-11,102.3085,85.7485,89.2621,112.8286,21.9271,99.0915,140.4611,44.2612,77.9346,82.4128
2014-11-12,103.7541,85.5709,89.5416,113.2876,21.9271,99.5285,140.2978,44.2431,78.1263,82.5241
2014-11-13,105.2183,85.1223,89.9433,115.6817,21.8923,98.8647,139.1122,44.1616,77.9607,81.6424
2014-11-14,106.4867,84.7484,88.3015,115.9787,22.3892,97.8563,139.8597,44.913000000000004,77.194,81.0261
2014-11-17,106.3095,84.2437,88.5023,115.5827,22.9472,98.6535,141.0367,44.8859,76.7671,81.3942
